id;code;libelle
1;14110100;SEDHIOU
2;14110200;MARSASSOUM
3;14110300;DIANAH MALARY
4;14120101;DIENDE
5;14120102;SAKAR
6;14120103;DIANNAH BA
7;14120104;KOUSSY
8;14120105;OUDOUCAR
9;14120106;SAMA KANTA PEULH
10;14120201;BENET- BIJINI
11;14120202;SANSAMBA
12;14120203;DJIBABOUYA
13;14120301;BAMBALI
14;14120302;DJIREDJI
15;14210100;BOUNKILING
16;14210200;MADINA WANDIFA
17;14210300;NDIAMACOUTA
18;14220101;BOGHAL
19;14220102;TANKON
20;14220103;DJINANY
21;14220104;NDIAMALATHIEL
22;14220201;BONA
23;14220202;DIACOUNDA
24;14220203;INOR
25;14220204;KANDION MANGANA
26;14220301;DIAROUME
27;14220302;DIAMBATY
28;14220303;FAOUNE
29;14310100;GOUDOMP
30;14310200;DIATTACOUNDA
31;14310300;SAMINE
32;14310400;TANAFF
33;14320101;DJIBANAR
34;14320102;KAOUR
35;14320103;MANGAROUNGOU SANTO
36;14320104;SIMBADI BALANTE
37;14320105;YARANG BALANTE
38;14320201;KARANTABA
39;14320202;KOLIBANTANG
40;14320301;NIAGHA
41;14320302;SIMBANDI BRASSOU
42;14320303;BAGHERE
43;14320304;DIOUBOUDOU
