id;numero;valeur_batie;valeur_venale;valeur_locativ;activite
1;markets multi-tasking oriental;73673;65423;259;system
2;Haute-Normandie;40276;14248;92821;revolutionize Savings copy
3;Pound;59579;47033;63063;Health encompassing Tools
4;black copy Saint-Dominique;82261;33800;19226;PCI d'Argenteuil
5;Borders;80950;82823;99461;approach connecting
6;Peso;63378;17929;75556;Unbranded Franche-Comté
7;Fresh Gabon;21327;62865;63734;Administrateur Stagiaire
8;Configurable initiatives;65308;6552;90123;index impactful
9;paradigm;1787;92153;26913;green calculating
10;Sleek;64556;6343;61532;grey Lorraine c
